Image type	Feature Class	Feature Name	ROI_45_segment_Mass
wavelet-LHL	gldm	LargeDependenceHighGrayLevelEmphasis	3441.1181462140994
wavelet-LHL	gldm	LargeDependenceLowGrayLevelEmphasis	1.360645478458718
wavelet-LHL	gldm	LowGrayLevelEmphasis	0.02587474875332783
wavelet-LHL	gldm	SmallDependenceEmphasis	0.08357490449211838
wavelet-LHL	gldm	SmallDependenceHighGrayLevelEmphasis	4.935855527523804
wavelet-LHL	gldm	SmallDependenceLowGrayLevelEmphasis	0.002676890935102517
wavelet-LHL	glrlm	GrayLevelNonUniformity	468.537295286818
wavelet-LHL	glrlm	GrayLevelNonUniformityNormalized	0.1977490172385849
wavelet-LHL	glrlm	GrayLevelVariance	2.3841392112597792
wavelet-LHL	glrlm	HighGrayLevelRunEmphasis	52.84840790124544
wavelet-LHL	glrlm	LongRunEmphasis	2.3003535397439716
wavelet-LHL	glrlm	LongRunHighGrayLevelEmphasis	121.6540758022089
wavelet-LHL	glrlm	LongRunLowGrayLevelEmphasis	0.05562137929443053
wavelet-LHL	glrlm	LowGrayLevelRunEmphasis	0.026930650623198008
wavelet-LHL	glrlm	RunEntropy	3.5906427378630363
wavelet-LHL	glrlm	RunLengthNonUniformity	1577.7620176649157
wavelet-LHL	glrlm	RunLengthNonUniformityNormalized	0.6524950750492656
wavelet-LHL	glrlm	RunPercentage	0.7732978509740912
wavelet-LHL	glrlm	RunVariance	0.5088397084639305
wavelet-LHL	glrlm	ShortRunEmphasis	0.8277267513817534
wavelet-LHL	glrlm	ShortRunHighGrayLevelEmphasis	43.879652652752874
wavelet-LHL	glrlm	ShortRunLowGrayLevelEmphasis	0.022948766263623445
wavelet-LHL	glszm	GrayLevelNonUniformity	34.77946768060836
wavelet-LHL	glszm	GrayLevelNonUniformityNormalized	0.13224132197949948
wavelet-LHL	glszm	GrayLevelVariance	5.148260058696815
wavelet-LHL	glszm	HighGrayLevelZoneEmphasis	60.1787072243346
wavelet-LHL	glszm	LargeAreaEmphasis	4390.0912547528515
wavelet-LHL	glszm	LargeAreaHighGrayLevelEmphasis	233254.39543726237
wavelet-LHL	glszm	LargeAreaLowGrayLevelEmphasis	85.98538425228953
wavelet-LHL	glszm	LowGrayLevelZoneEmphasis	0.038130811728386525
wavelet-LHL	glszm	SizeZoneNonUniformity	54.59695817490494
wavelet-LHL	glszm	SizeZoneNonUniformityNormalized	0.20759299686275642
wavelet-LHL	glszm	SmallAreaEmphasis	0.4221284672196774
wavelet-LHL	glszm	SmallAreaHighGrayLevelEmphasis	28.158481937252333
wavelet-LHL	glszm	SmallAreaLowGrayLevelEmphasis	0.014233106830779748
wavelet-LHL	glszm	ZoneEntropy	5.719211772267284
wavelet-LHL	glszm	ZonePercentage	0.0858355091383812
wavelet-LHL	glszm	ZoneVariance	4254.364325058914
wavelet-LHL	ngtdm	Busyness	3.32249355873474
wavelet-LHL	ngtdm	Coarseness	0.002409667236002864
wavelet-LHL	ngtdm	Complexity	62.55599953591312
wavelet-LHL	ngtdm	Contrast	0.02386663281475519
wavelet-LHL	ngtdm	Strength	0.1575310622967221
wavelet-LHH	firstorder	10Percentile	-3.779853967820577
wavelet-LHH	firstorder	90Percentile	4.502932517247698
wavelet-LHH	firstorder	Energy	35821.53531062252
wavelet-LHH	firstorder	Entropy	0.9956432915419129
wavelet-LHH	firstorder	InterquartileRange	3.9985389980243053
wavelet-LHH	firstorder	Kurtosis	4.3388628428602605
wavelet-LHH	firstorder	Maximum	17.44165269312952
wavelet-LHH	firstorder	MeanAbsoluteDeviation	2.5698064601038837
wavelet-LHH	firstorder	Mean	0.3423873386082757
wavelet-LHH	firstorder	Median	0.27611589962211025
wavelet-LHH	firstorder	Minimum	-14.346555376431745
wavelet-LHH	firstorder	Range	31.788208069561264
wavelet-LHH	firstorder	RobustMeanAbsoluteDeviation	1.6758663744579292
wavelet-LHH	firstorder	RootMeanSquared	3.419225292764955
wavelet-LHH	firstorder	Skewness	0.1534374785903575
wavelet-LHH	firstorder	TotalEnergy	35821.53531062252
wavelet-LHH	firstorder	Uniformity	0.5030167991464936
wavelet-LHH	firstorder	Variance	11.57387251304433
wavelet-LHH	glcm	Autocorrelation	2.424741675623481
wavelet-LHH	glcm	ClusterProminence	0.57540440518467
wavelet-LHH	glcm	ClusterShade	-0.06528538766546646
wavelet-LHH	glcm	ClusterTendency	0.5716077449057334
wavelet-LHH	glcm	Contrast	0.4202494775954407
wavelet-LHH	glcm	Correlation	0.15263474368977878
